3.1357600689,                       100000,  3000000.0000000000
3.1421198845,                       200000,  4000000.2500000000
3.1367065907,                       300000,  7000000.0000000000
3.1416199207,                       400000, 10000000.0000000000
3.1408638954,                       500000, 11000000.0000000000
3.1420066357,                       600000, 13000000.0000000000
3.1405372620,                       700000, 15000000.0000000000
3.1416549683,                       800000, 17000000.0000000000
3.1404132843,                       900000, 21000000.0000000000
3.1406040192,                      1000000, 21000000.0000000000
3.1392800808,                      1100000, 25000000.0000000000
3.1405899525,                      1200000, 26000000.0000000000
3.1418399811,                      1300000, 28000000.0000000000
3.1400284767,                      1400000, 32000002.0000000000
3.1399359703,                      1500000, 32000002.0000000000
3.1430850029,                      1600000, 35000000.0000000000
3.1410329342,                      1700000, 45000000.0000000000
3.1432733536,                      1800000, 40000000.0000000000
3.1411390305,                      1900000, 41000000.0000000000
3.1396479607,                      2000000, 47000000.0000000000
3.1403827667,                      2100000, 46000000.0000000000
3.1430182457,                      2200000, 52000000.0000000000
3.1421825886,                      2300000, 54000000.0000000000
3.1414449215,                      2400000, 52000000.0000000000
3.1414864063,                      2500000, 58000000.0000000000
3.1404216290,                      2600000, 59000000.0000000000
3.1413421631,                      2700000, 58000000.0000000000
3.1431114674,                      2800000, 61000000.0000000000
3.1404924393,                      2900000, 61000000.0000000000
3.1403319836,                      3000000, 64000004.0000000000
3.1433470249,                      3100000, 66000000.0000000000
3.1420300007,                      3200000, 72000000.0000000000
3.1418690681,                      3300000, 72000000.0000000000
3.1417400837,                      3400000, 74000000.0000000000
3.1416411400,                      3500000, 78000000.0000000000
3.1423110962,                      3600000, 80000000.0000000000
3.1409707069,                      3700000, 82000000.0000000000
3.1413335800,                      3800000, 85000000.0000000000
3.1414103508,                      3900000, 87000000.0000000000
3.1407508850,                      4000000, 95000000.0000000000
3.1416380405,                      4100000, 92000000.0000000000
3.1428809166,                      4200000, 96000000.0000000000
3.1417636871,                      4300000, 93000000.0000000000
3.1411418915,                      4400000, 95000000.0000000000
3.1414177418,                      4500000, 97000000.0000000000
3.1412487030,                      4600000,103000000.0000000000
3.1422920227,                      4700000,103000000.0000000000
3.1415684223,                      4800000,104000000.0000000000
3.1413648129,                      4900000,106000000.0000000000
3.1422760487,                      5000000,107000000.0000000000
3.1410863400,                      5100000,116000000.0000000000
3.1414906979,                      5200000,115000000.0000000000
3.1426188946,                      5300000,121000000.0000000000
3.1420052052,                      5400000,129999992.0000000000
3.1409723759,                      5500000,136000000.0000000000
3.1410706043,                      5600000,127000008.0000000000
3.1422295570,                      5700000,124000000.0000000000
3.1419675350,                      5800000,125000000.0000000000
3.1414332390,                      5900000,129999992.0000000000
3.1416659355,                      6000000,135000000.0000000000
3.1412196159,                      6100000,133000000.0000000000
3.1418464184,                      6200000,135000000.0000000000
3.1421473026,                      6300000,135000000.0000000000
3.1417481899,                      6400000,140000000.0000000000
3.1420357227,                      6500000,141000000.0000000000
3.1416714191,                      6600000,142000000.0000000000
3.1418435574,                      6700000,149000000.0000000000
3.1402883530,                      6800000,156000000.0000000000
3.1420266628,                      6900000,151000000.0000000000
3.1414611340,                      7000000,154000000.0000000000
3.1413910389,                      7100000,152000000.0000000000
3.1413984299,                      7200000,158000000.0000000000
3.1419725418,                      7300000,161000000.0000000000
3.1416184902,                      7400000,160000000.0000000000
3.1416928768,                      7500000,170000000.0000000000
3.1408488750,                      7600000,166000000.0000000000
3.1415081024,                      7700000,169000000.0000000000
3.1420414448,                      7800000,169000000.0000000000
3.1422648430,                      7900000,171000000.0000000000
3.1408770084,                      8000000,176000000.0000000000
3.1415591240,                      8100000,178000000.0000000000
3.1415882111,                      8200000,184000000.0000000000
3.1403865814,                      8300000,180000000.0000000000
3.1414599419,                      8400000,184000000.0000000000
3.1415379047,                      8500000,189000000.0000000000
3.1421496868,                      8600000,189000000.0000000000
3.1415498257,                      8700000,187000000.0000000000
3.1419553757,                      8800000,200000000.0000000000
3.1419160366,                      8900000,217000000.0000000000
3.1410596371,                      9000000,197000000.0000000000
3.1417770386,                      9100000,200000000.0000000000
3.1417078972,                      9200000,202000000.0000000000
3.1415035725,                      9300000,200000000.0000000000
3.1410579681,                      9400000,208000000.0000000000
3.1405591965,                      9500000,206000000.0000000000
3.1417386532,                      9600000,207000000.0000000000
3.1409871578,                      9700000,210000000.0000000000
3.1412713528,                      9800000,218000000.0000000000
3.1417841911,                      9900000,216000000.0000000000
3.1415491104,                     10000000,216000000.0000000000
3.1412293911,                     10100000,219000000.0000000000
3.1422748566,                     10200000,223000000.0000000000
3.1417193413,                     10300000,225000000.0000000000
3.1403434277,                     10400000,233000000.0000000000
3.1421191692,                     10500000,230000000.0000000000
3.1411931515,                     10600000,232000000.0000000000
3.1412971020,                     10700000,236000000.0000000000
3.1418581009,                     10800000,236000000.0000000000
3.1422190666,                     10900000,242000000.0000000000
3.1415374279,                     11000000,241000000.0000000000
3.1416010857,                     11100000,239000000.0000000000
3.1413488388,                     11200000,247000000.0000000000
3.1419532299,                     11300000,272000000.0000000000
3.1416347027,                     11400000,250999984.0000000000
3.1419606209,                     11500000,249000000.0000000000
3.1416490078,                     11600000,256000016.0000000000
3.1425583363,                     11700000,255000000.0000000000
3.1417622566,                     11800000,257999984.0000000000
3.1409220695,                     11900000,259000000.0000000000
3.1418590546,                     12000000,259000000.0000000000
3.1403791904,                     12100000,259999984.0000000000
